Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piece Name,Set Name,Piece Type,Rarity,Base Def.,Fire Res.,Water Res.,Thunder Res.,Ice Res.,Dragon Res.,Lvl 1 Deco Slots,Lvl 2 Deco Slots,Lvl 3 Deco Slots,Text Description,Skill 1,Skill 1 Lvl,Skill 2,Skill 2 Lvl,Skill 3,Skill 3 Lvl,Group Skill,Set Bonus,Forging Price,Forge Mat 1,Forge Mat 1 Qty,Forge Mat 2,Forge Mat 2 Qty,Forge Mat 3,Forge Mat 3 Qty,Forge Mat 4,Forge Mat 4 Qty
Rey Sandcoil,Rey Dau,Waist,4,26,0,-2,4,-3,0,1,-,-,Rey Dau waistgear. The faintly glowing buckle inspires awe and respect.,Constitution,1,-,-,-,-,Lord's Favor,Rey Dau's Voltage,1000,Rey Dau Shell,2,Rey Dau Thunderhorn,1,Guardian Pelt,1,Wingdrake Hide,1
Rey Sandgreaves,Rey Dau,Legs,4,26,0,-2,4,-3,0,-,-,-,Rey Dau leg armor. A layer of latent electricity cushions blows and softens landings.,Constitution,1,Latent Power,1,-,-,Lord's Favor,Rey Dau's Voltage,1000,Rey Dau Certificate,1,Rey Dau Tail,1,Rey Dau Plate,1,Guardian Blood,1
Udra Mirehelm,Nu Udra,Head,4,26,5,-4,0,1,0,1,-,-,Nu Udra head armor. The world throug this mask is swathed in vengeance and ebony fire.,Resentment,1,-,-,-,-,Lord's Favor,Nu Udra's Mutiny,1000,Nu Udra Hide,2,Nu Udra Spike,1,Nu Udra Horn,1,-,-
Udra Miremail,Nu Udra,Chest,4,26,5,-4,0,1,0,-,-,-,"Nu Udra chest armor. As if a curse manifested, tentacles drape down to form a haunting cape.",Resentment,1,Speed Eating,1,-,-,Lord's Favor,Nu Udra's Mutiny,1000,Nu Udra Certificate,1,Nu Udra Hide,2,Nu Udra Cerebrospinal Fluid,1,Guardian Blood,1
Udra Mirebraces,Nu Udra,Arms,4,26,5,-4,0,1,0,1,-,-,"Chilling Nu Udra armguards. They wrap one's sense of touch, changing warmth to cold nothingness.",Speed Eating,1,-,-,-,-,Lord's Favor,Nu Udra's Mutiny,1000,Nu Udra Hide,2,Nu Udra Oilmucus,1,-,-,-,-
Udra Mirecoil,Nu Udra,Waist,4,26,5,-4,0,1,0,1,-,-,Nu Udra waistgear. The gnash of spikes and fangs are bound by a personalized curse.,Resentment,1,-,-,-,-,Lord's Favor,Nu Udra's Mutiny,1000,Nu Udra Oilmucus,1,Nu Udra Tentacle,1,Nu Udra Horn,1,Guardian Blood,1
Udra Miregreaves,Nu Udra,Legs,4,26,5,-4,0,1,0,1,-,-,Nu Udra leg armor. The wearer could cross a sea of fire without so much as a blister.,Speed Eating,1,-,-,-,-,Lord's Favor,Nu Udra's Mutiny,1000,Nu Udra Spike,2,Nu Udra Tentacle,1,Guardian Pelt,1,Charred Oilbone,1
G. Doshaguma Helm,Guardian Doshaguma,Head,4,26,-3,2,-1,-2,2,1,-,-,Head armor made from Guardian Doshaguma spoils. To don it is to be seized by unspeakable cravings.,Heroics,1,-,-,-,-,Guardian's Pulse,Doshaguma's Might,800,Guardian Doshaguma Fur,2,Guardian Doshaguma Hide,2,Guardian Doshaguma Fang,1,-,-
G. Doshaguma Mail,Guardian Doshaguma,Chest,4,26,-3,2,-1,-2,2,-,-,-,Chest armor made from Guardian Doshaguma spoils. It instills a new vitality and sense of purpose.,Heroics,1,Iron Skin,1,-,-,Guardian's Pulse,Doshaguma's Might,800,Guardian Doshaguma Fur,2,Guardian Doshaguma Claw,1,-,-,-,-
G. Doshaguma Braces,Guardian Doshaguma,Arms,4,26,-3,2,-1,-2,2,1,-,-,Armguards made from Guardian Doshaguma spoils. They agitate the wearer unless in constant motion.,Marathon Runner,1,-,-,-,-,Guardian's Pulse,Doshaguma's Might,800,Guardian Doshaguma Hide,2,Guardian Doshaguma Fang,1,-,-,-,-
G. Doshaguma Coil,Guardian Doshaguma,Waist,4,26,-3,2,-1,-2,2,-,-,-,Waistgear made from Guardian Doshaguma spoils. The white areas self-repair when damaged.,Heroics,1,Marathon Runner,1,-,-,Guardian's Pulse,Doshaguma's Might,800,G. Doshaguma Certificate,1,Guardian Doshaguma Fur,2,Guardian Doshaguma Claw,1,Guardian Blood,1
G. Doshaguma Greaves,Guardian Doshaguma,Legs,4,26,-3,2,-1,-2,2,-,-,-,Leg armor made from Guardian Doshaguma spoils. Produces a faint white aura when worn.,Iron Skin,1,Marathon Runner,1,-,-,Guardian's Pulse,Doshaguma's Might,800,Guardian Doshaguma Claw,1,Guardian Doshaguma Fang,1,Guardian Pelt,1,-,-
G. Rathalos Helm,Guardian Rathalos,Head,4,26,3,1,-2,1,-5,-,-,-,Head armor made from Guardian Rathalos spoils. To don it is to be seized by unspeakable cravings.,Weakness Exploit,1,Intimidator,1,-,-,Guardian's Pulse,Rathalos's Flare,800,G. Rathalos Certificate,1,Guardian Rathalos Scale,2,Guardian Rathalos Shell,1,Guardian Rathalos Plate,1
G. Rathalos Mail,Guardian Rathalos,Chest,4,26,3,1,-2,1,-5,1,-,-,Chest armor made from Guardian Rathalos spoils. It instills a new vitality and sense of purpose.,Intimidator,1,-,-,-,-,Guardian's Pulse,Rathalos's Flare,800,Guardian Rathalos Shell,2,Guardian Rathalos Webbing,1,-,-,-,-
G. Rathalos Vambraces,Guardian Rathalos,Arms,4,26,3,1,-2,1,-5,1,-,-,Armguards made from Guardian Rathalos spoils. They agitate the wearer unless in constant motion.,Weakness Exploit,1,-,-,-,-,Guardian's Pulse,Rathalos's Flare,800,Guardian Rathalos Scale,2,Guardian Rathalos Shell,2,Guardian Rathalos Tail,1,-,-
G. Rathalos Coil,Guardian Rathalos,Waist,4,26,3,1,-2,1,-5,1,-,-,Waistgear made from Guardian Rathalos spoils. The white areas self-repair when damaged.,Intimidator,1,-,-,-,-,Guardian's Pulse,Rathalos's Flare,800,Guardian Rathalos Scale,2,Guardian Rathalos Webbing,1,-,-,-,-
G. Rathalos Greaves,Guardian Rathalos,Legs,4,26,3,1,-2,1,-5,1,-,-,Leg armor made from Guardian Rathalos spoils. Produces a faint white aura when worn.,Weakness Exploit,1,-,-,-,-,Guardian's Pulse,Rathalos's Flare,800,Guardian Rathalos Webbing,1,Guardian Rathalos Tail,1,Guardian Scale,1,-,-
G. Ebony Helm,Guardian Ebony,Head,4,26,-2,-3,-2,-2,4,1,-,-,Head armor made from Guardian Ebony Odogaron spoils. To don it is to be seized by unspeakable cravings.,Burst,1,-,-,-,-,Guardian's Pulse,Ebony Odogaron's Power,800,Guardian Ebony Claw,1,Guardian Ebony Fang,1,Guardian Ebony Tail,1,-,-
G. Ebony Mail,Guardian Ebony,Chest,4,26,-2,-3,-2,-2,4,1,-,-,Chest armor made from Guardian Ebony Odogaron spoils. It instills a new vitality and sense of purpose.,Bleeding Resistance,1,-,-,-,-,Guardian's Pulse,Ebony Odogaron's Power,800,Guardian Ebony Sinew,2,Guardian Ebony Fang,1,-,-,-,-
G. Ebony Braces,Guardian Ebony,Arms,4,26,-2,-3,-2,-2,4,1,-,-,Armguards made from Guardian Ebony Odogaron spoils. They agitate the wearer unless in constant motion.,Burst,1,-,-,-,-,Guardian's Pulse,Ebony Odogaron's Power,800,Guardian Ebony Scale,2,Guardian Ebony Sinew,2,Guardian Ebony Fang,1,-,-
G. Ebony Coil,Guardian Ebony,Waist,4,26,-2,-3,-2,-2,4,-,-,-,Waistgear made from Guardian Ebony Odogaron spoils. The white areas self-repair when damaged.,Burst,1,Bleeding Resistance,1,-,-,Guardian's Pulse,Ebony Odogaron's Power,800,G. Ebony Odogaron Certificate,1,Guardian Ebony Tail,1,Guardian Ebony Claw,3,Guardian Ebony Plate,1
G. Ebony Greaves,Guardian Ebony,Legs,4,26,-2,-3,-2,-2,4,1,-,-,Leg armor from Guardian Ebony Odogaron spoils. Produces a faint white aura when worn.,Bleeding Resistance,1,-,-,-,-,Guardian's Pulse,Ebony Odogaron's Power,800,Guardian Ebony Scale,2,Guardian Ebony Claw,1,-,-,-,-
Xu Wu Helm,Xu Wu,Head,4,26,1,1,1,-3,2,1,-,-,Concealing Xu Wu head armor. Fitting attire for hunters who dwell in darkness.,Maximum Might,1,-,-,-,-,Flexible Leathercraft,-,800,Xu Wu Hide,2,Golden Corneum,2,Xu Wu Fang,1,Tough Guardian Bone,1
Xu Wu Mail,Xu Wu,Chest,4,26,1,1,1,-3,2,1,-,-,Xu Wu chest armor. The long scarf can be used as protective gear and multi-purpose rope.,Stamina Surge,1,-,-,-,-,Flexible Leathercraft,-,800,Golden Corneum,2,Xu Wu Tentacle,1,-,-,-,-
Xu Wu Vambraces,Xu Wu,Arms,4,26,1,1,1,-3,2,1,-,-,Xu Wu armguards. The clever design gives the wearer's fingers a nimble edge even in the dark.,Maximum Might,1,-,-,-,-,Flexible Leathercraft,-,800,Xu Wu Hide,2,Xu Wu Claw,1,-,-,-,-
Xu Wu Coil,Xu Wu,Waist,4,26,1,1,1,-3,2,-,-,-,Slinky Xu Wu waistgear. The uniquely textured leather moves silent as a whisper.,Maximum Might,1,Stamina Surge,1,-,-,Flexible Leathercraft,-,800,Xu Wu Certificate,1,Xu Wu Hide,2,Xu Wu Claw,1,Xu Wu Cerebrospinal Fluid,1
Xu Wu Greaves,Xu Wu,Legs,4,26,1,1,1,-3,2,1,-,-,Xu Wu leg armor. Meticulously crafted to allow the wearer to slink silently through the dark.,Stamina Surge,1,-,-,-,-,Flexible Leathercraft,-,800,Xu Wu Claw,1,Xu Wu Tentacle,1,Xu Wu Fang,1,-,-
G. Arkveld Helm,Guardian Arkveld,Head,4,30,2,0,-1,0,-4,1,-,-,Guardian Arkveld head armor. A host of heightened senses make up for the narrow view.,Flayer,1,-,-,-,-,Guardian's Pulse,Guardian Arkveld's Vitality,1500,Guardian Blood,1,Guardian Rathalos Webbing,2,Guardian Scale,1,-,-
G. Arkveld Mail,Guardian Arkveld,Chest,4,30,2,0,-1,0,-4,-,-,-,Guardian Arkveld chest armor. It beckons forth a shudder of indescribable power.,Flayer,1,-,-,-,-,Guardian's Pulse,Guardian Arkveld's Vitality,1500,Guardian Blood,1,Guardian Ebony Claw,2,Tough Guardian Bone,3,-,-
G. Arkveld Vambraces,Guardian Arkveld,Arms,4,30,2,0,-1,0,-4,1,-,-,Guardian Arkveld armguards. Instills the desire to tear at friend and foe alike.,Flayer,1,Blight Resistance,1,-,-,Guardian's Pulse,Guardian Arkveld's Vitality,1500,Guardian Blood,1,Guardian Scale,2,Guardian Seikret Feather,2,-,-
G. Arkveld Coil,Guardian Arkveld,Waist,4,30,2,0,-1,0,-4,2,-,-,"Guardian Arkveld waistgear. The chains writhe subtly, eager to ensnare prey.",Blight Resistance,1,-,-,-,-,Guardian's Pulse,Guardian Arkveld's Vitality,1500,Guardian Blood,1,Guardian Doshaguma Claw,2,Guardian Pelt,1,-,-
G. Arkveld Greaves,Guardian Arkveld,Legs,4,30,2,0,-1,0,-4,1,-,-,"Guardian Arkveld leg armor. Their power grows with each relentless, hungry step.",Blight Resistance,1,-,-,-,-,Guardian's Pulse,Guardian Arkveld's Vitality,1500,Guardian Blood,1,Guardian Pelt,2,-,-,-,-
Hope Mask α,Hope α,Head,5,26,1,0,1,0,0,1,-,-,Armor crafted specifically for members of the expedition. The mask keeps the sand out.,Divine Blessing,2,-,-,-,-,-,-,2500,Sturdy Bone,2,Iron Ore,1,-,-,-,-
Hope Mail α,Hope α,Chest,5,26,1,0,1,0,0,2,-,-,Armor crafted specifically for members of the expedition. An all-seasons design for any clime.,Poison Resistance,1,-,-,-,-,-,-,2500,Sturdy Bone,1,Earth Crystal,1,-,-,-,-
Hope Vambraces α,Hope α,Arms,5,26,1,0,1,0,0,2,-,-,Armor crafted specifically for members of the expedition. Pliant fingers help with precision work.,Sleep Resistance,1,-,-,-,-,-,-,2500,Sturdy Bone,2,Earth Crystal,1,-,-,-,-
Hope Coil α,Hope α,Waist,5,26,1,0,1,0,0,1,-,-,Armor crafted specifically for members of the expedition. It is optimized for quick access.,Divine Blessing,1,Stun Resistance,1,-,-,-,-,2500,Sturdy Bone,1,Iron Ore,1,-,-,-,-
Hope Greaves α,Hope α,Legs,5,26,1,0,1,0,0,1,-,-,Armor crafted specifically for members of the expedition. It can handle nearly any terrain.,Stun Resistance,2,-,-,-,-,-,-,2500,Sturdy Bone,3,-,-,-,-,-,-
Leather Headgear α,Leather α,Head,5,26,2,0,0,0,0,1,-,-,"Head armor made of treated monster hide. A safe choice, designed for multi-purpose use.",Botanist,2,-,-,-,-,-,-,2500,Guardian Pelt,1,-,-,-,-,-,-
Leather Mail α,Leather α,Chest,5,26,2,0,0,0,0,1,-,-,Simple chest armor reinforced with monster hide. A design that maximizes wearability.,Botanist,1,Item Prolonger,1,-,-,-,-,2500,Guardian Pelt,1,Machalite Ore,1,-,-,-,-
Leather Gloves α,Leather α,Arms,5,26,2,0,0,0,0,1,-,-,"Armguards reinforced with monster hide. They're light, but provide ample protection",Botanist,1,Hunger Resistance,1,-,-,-,-,2500,Guardian Pelt,1,Machalite Ore,1,-,-,-,-
Leather Belt α,Leather α,Waist,5,26,2,0,0,0,0,2,-,-,Waistgear reinforced with monster hide. Hunters swear by it's no-nonsense functionality.,Hunger Resistance,1,-,-,-,-,-,-,2500,Guardian Pelt,1,-,-,-,-,-,-
Leather Pants α,Leather α,Legs,5,26,2,0,0,0,0,1,-,-,Leg armor reinforced with monster hide. Molds to the body with extended use.,Hunger Resistance,1,Item Prolonger,1,-,-,-,-,2500,Guardian Pelt,1,Machalite Ore,1,-,-,-,-
Chainmail Headgear α,Chainmail α,Head,5,26,0,2,0,0,0,2,-,-,Head armor made of woven chain links. Its familiar design inspires trust in hunters who wear it.,Geologist,1,-,-,-,-,-,-,2500,Guardian Scale,1,Icium,1,-,-,-,-
Chainmail Armor α,Chainmail α,Chest,5,26,0,2,0,0,0,1,-,-,"Chest armor made of woven chain links. Tried and true, it offers solid, functional defense.",Ice Resistance,1,Geologist,1,-,-,-,-,2500,Guardian Scale,1,-,-,-,-,-,-
Chainmail Gloves α,Chainmail α,Arms,5,26,0,2,0,0,0,1,-,-,Armguards made of woven chain links. They're easy to use and a breeze to maintain.,Recovery Speed,1,Geologist,1,-,-,-,-,2500,Guardian Scale,1,Icium,1,-,-,-,-
Chainmail Belt α,Chainmail α,Waist,5,26,0,2,0,0,0,1,-,-,Waistgear made of woven chain links. A smart combination of materials keeps it extra light.,Ice Resistance,1,Recovery Speed,1,-,-,-,-,2500,Guardian Scale,1,-,-,-,-,-,-
Chainmail Pants α,Chainmail α,Legs,5,26,0,2,0,0,0,2,-,-,Leg armor made of woven chain links. The clever weave prevents it from impairing movement.,Recovery Speed,1,-,-,-,-,-,-,2500,Guardian Scale,1,Icium,1,-,-,-,-
Bone Helm α,Bone α,Head,5,32,2,0,2,0,2,1,-,-,"Traditional head armor crafted from monster bones. Believe it or not, it offers pretty good insulation.",Stun Resistance,1,Speed Eating,1,-,-,-,-,2500,Quality Bone,1,Frozen Icebone,1,-,-,-,-
Bone Mail α,Bone α,Chest,5,32,2,0,2,0,2,1,-,-,Traditional chest armor with a unique plating of intricately pieced together monster bones.,Stun Resistance,1,Marathon Runner,1,-,-,-,-,2500,Quality Bone,1,Charred Oilbone,1,-,-,-,-
Bone Vambraces α,Bone α,Arms,5,32,2,0,2,0,2,1,-,-,Traditional armguards made from monster bones. It's a wonder these mismatched shapes fit together.,Marathon Runner,1,Speed Eating,1,-,-,-,-,2500,Quality Bone,1,Frozen Icebone,1,-,-,-,-
Bone Coil α,Bone α,Waist,5,32,2,0,2,0,2,2,-,-,"Traditional waistgear bound with monster bones. Looks crude, but it does the job.",Marathon Runner,1,-,-,-,-,-,-,2500,Quality Bone,1,Tough Guardian Bone,1,-,-,-,-
Bone Greaves α,Bone α,Legs,5,32,2,0,2,0,2,2,-,-,Traditional leg armor crafted from monster bones so light it's like wearing nothing at all.,Stun Resistance,1,-,-,-,-,-,-,2500,Quality Bone,1,Charred Oilbone,1,-,-,-,-
Alloy Helm α,Alloy α,Head,5,32,-2,1,-2,-2,1,2,-,-,"A helmet crafted from quality ore. While it doesn't look like much, this is highly functional armor.",Quick Sheathe,1,-,-,-,-,-,-,2500,Carbalite Ore,1,Dragonite Ore,3,-,-,-,-
Alloy Mail α,Alloy α,Chest,5,32,-2,1,-2,-2,1,1,-,-,"Chest armor crafted from quality ore. Made with a logical, no-frills construction that puts mobility first.",Flinch Free,2,-,-,-,-,-,-,2500,Carbalite Ore,1,Dragonite Ore,2,-,-,-,-
Alloy Vambraces α,Alloy α,Arms,5,32,-2,1,-2,-2,1,2,-,-,Armguards crafted from quality ore. Every element is streamlined for maximum utility.,Tremor Resistance,1,-,-,-,-,-,-,2500,Carbalite Ore,1,Dragonite Ore,3,-,-,-,-
Alloy Coil α,Alloy α,Waist,5,32,-2,1,-2,-2,1,1,-,-,Waistgear crafted from quality ore. The complexly shaded patina and sleek design are quite stunning.,Quick Sheathe,1,Tremor Resistance,1,-,-,-,-,2500,Carbalite Ore,1,Dragonite Ore,2,-,-,-,-
Alloy Greaves α,Alloy α,Legs,5,32,-2,1,-2,-2,1,1,-,-,Leg armor crafted from quality ore. What it lacks in charm it more than makes up in defense.,Quick Sheathe,1,Flinch Free,1,-,-,-,-,2500,Carbalite Ore,1,Dragonite Ore,2,-,-,-,-
Bulaqchi Specs α,Bulaqchi α,Head,5,32,-4,1,1,-2,4,-,-,-,Spectacles made from Bulaqchi parts. The hottest new design for the stylish hunter.,Weakness Exploit,1,Entomologist,1,-,-,Neopteron Alert,-,2500,Bulaqchi Carapace,5,-,-,-,-,-,-
Bulaqchi Specs β,Bulaqchi β,Head,5,32,-4,1,1,-2,4,1,1,-,Spectacles made from Bulaqchi parts. The hottest new design for the stylish hunter.,Entomologist,1,-,-,-,-,Neopteron Camouflage,-,2500,Bulaqchi Carapace,5,-,-,-,-,-,-
Talioth Vambraces α,Talioth α,Arms,5,32,4,-2,-2,-2,2,-,-,-,Talioth armguards. The forearm blades are a classic example of style over practicality.,Burst,1,Leap of Faith,1,-,-,Flexible Leathercraft,-,2500,Talioth Scale+,3,Acute Fang,2,-,-,-,-
Talioth Vambraces β,Talioth β,Arms,5,32,4,-2,-2,-2,2,1,1,-,Talioth armguards. The forearm blades are a classic example of style over practicality.,Leap of Faith,1,-,-,-,-,Buttery Leathercraft,-,2500,Talioth Scale+,3,Acute Fang,2,-,-,-,-
Piragill Greaves α,Piragill α,Legs,5,32,-3,4,-3,1,1,-,-,-,"Piragill leg armor. A light, skintight fit made with the most exquisite, buttery-soft leather.",Water Resistance,2,Aquatic/Oilsilt Mobility,1,-,-,Flexible Leathercraft,-,2500,Piragill Fin+,3,Carbalite Ore,2,-,-,-,-
Piragill Greaves β,Piragill β,Legs,5,32,-3,4,-3,1,1,-,1,-,"Piragill leg armor. A light, skintight fit made with the most exquisite, buttery-soft leather.",Aquatic/Oilsilt Mobility,1,-,-,-,-,Buttery Leathercraft,-,2500,Piragill Fin+,3,Carbalite Ore,2,-,-,-,-
Vespoid Helm α,Vespoid α,Head,5,32,-2,1,1,1,2,-,-,-,A Vespoid helmet. The carapace material is susceptible to fire but offers sturdy coverage.,Survival Expert,1,Ambush,1,-,-,Neopteron Alert,-,2500,Vespoid Carapace,2,Monster Broth,3,-,-,-,-
Vepoid Mail α,Vespoid α,Chest,5,32,-2,1,1,1,2,1,-,-,Vespoid chest armor. Its arcane build provides formidable resistance to physical attacks.,Evade Window,1,Survival Expert,1,-,-,Neopteron Alert,-,2500,Vespoid Carapace,2,Vespoid Innerwing,2,-,-,-,-
Vespoid Vambraces α,Vespoid α,Arms,5,32,-2,1,1,1,2,-,-,-,"Vespoid armguards. They are as heavy as they look, but they afford significant defense.",Paralysis Resistance,1,Ambush,1,-,-,Neopteron Alert,-,2500,Vespoid Carapace,2,Vespoid Innerwing,3,-,-,-,-
Vespoid Coil α,Vespoid α,Waist,5,32,-2,1,1,1,2,1,-,-,Vespoid waistgear. The design arose from the study of highly defensive exoskeletons.,Evade Window,1,Paralysis Resistance,1,-,-,Neopteron Alert,-,2500,Vespoid Carapace,2,Quality Bone,2,-,-,-,-
Vespoid Greaves α,Vespoid α,Legs,5,32,-2,1,1,1,2,2,-,-,Leg armor made from Vespoid parts. Ingenious artisanship has further reinforced the carapace.,Paralysis Resistance,1,Survival Expert,1,-,-,Neopteron Alert,-,2500,Vespoid Carapace,2,Quality Bone,1,-,-,-,-
Vespoid Helm β,Vespoid β,Head,5,32,-2,1,1,1,2,-,1,-,A Vespoid helmet. The carapace material is susceptible to fire but offers sturdy coverage.,Survival Expert,1,-,-,-,-,Neopteron Camouflage,-,2500,Vespoid Carapace,2,Monster Broth,3,-,-,-,-
Vepoid Mail β,Vespoid β,Chest,5,32,-2,1,1,1,2,3,-,-,Vespoid chest armor. Its arcane build provides formidable resistance to physical attacks.,Survival Expert,1,-,-,-,-,Neopteron Camouflage,-,2500,Vespoid Carapace,2,Vespoid Innerwing,2,-,-,-,-
Vespoid Vambraces β,Vespoid β,Arms,5,32,-2,1,1,1,2,-,1,-,"Vespoid armguards. They are as heavy as they look, but they afford significant defense.",Paralysis Resistance,1,-,-,-,-,Neopteron Camouflage,-,2500,Vespoid Carapace,2,Vespoid Innerwing,3,-,-,-,-
Vespoid Coil β,Vespoid β,Waist,5,32,-2,1,1,1,2,3,-,-,Vespoid waistgear. The design arose from the study of highly defensive exoskeletons.,Paralysis Resistance,1,-,-,-,-,Neopteron Camouflage,-,2500,Vespoid Carapace,2,Quality Bone,2,-,-,-,-
Vespoid Greaves β,Vespoid β,Legs,5,32,-2,1,1,1,2,1,1,-,Leg armor made from Vespoid parts. Ingenious artisanship has further reinforced the carapace.,Survival Expert,1,-,-,-,-,Neopteron Camouflage,-,2500,Vespoid Carapace,2,Quality Bone,1,-,-,-,-
Kranodath Mail α,Kranodath α,Chest,5,32,4,-2,0,-2,0,-,-,-,Kranodath chest armor. What armor enthusiast could resist such ornate plating?,Flinch Free,2,Partbreaker,1,-,-,Scaling Prowess,-,2500,Kranodath Skull+,4,Firecell Stone,2,-,-,-,-
Kranodath Mail β,Kranodath β,Chest,5,32,4,-2,0,-2,0,-,1,-,Kranodath chest armor. What armor enthusiast could resist such ornate plating?,Flinch Free,2,-,-,-,-,Scale Layering,-,2500,Kranodath Skull+,4,Firecell Stone,2,-,-,-,-
Comaqchi Accessory α,Comaqchi α,Head,5,32,-5,0,0,3,3,-,-,-,"A Comaqchi head accessory. The thin, sleek plating emanates an eldritch gleam.",Sleep Resistance,2,Foray,1,-,-,Neopteron Alert,-,2500,Comaqchi Carapace,5,-,-,-,-,-,-
Comaqchi Accessory β,Comaqchi β,Head,5,32,-5,0,0,3,3,1,1,-,"A Comaqchi head accessory. The thin, sleek plating emanates an eldritch gleam.",Sleep Resistance,2,-,-,-,-,Neopteron Camouflage,-,2500,Comaqchi Carapace,5,-,-,-,-,-,-
Kut-Ku Helm α,Kut-Ku α,Head,5,36,3,0,-2,-4,2,1,-,-,Head armor made from superior Yian Kut-Ku parts. Its expert crafting brings to mind the bird-like beast.,Constitution,2,Fire Resistance,2,-,-,Scaling Prowess,-,3000,Kut-Ku Scale+,2,Kut-Ku Wing,2,Monster Keenbone,1,-,-
Kut-Ku Mail α,Kut-Ku α,Chest,5,36,3,0,-2,-4,2,1,-,-,Chest armor made from Yian Kut-Ku materials. Its unique color evokes thoughts of a foreign land.,Agitator,1,Fire Resistance,1,-,-,Scaling Prowess,-,3000,Yian Kut-Ku Certificate S,1,Kut-Ku Scale+,2,Kut-Ku Wing,1,Firecell Stone,1
Kut-Ku Vambraces α,Kut-Ku α,Arms,5,36,3,0,-2,-4,2,1,-,-,Armguards made from Yian Kut-Ku materials. The otherworldly pink plating repels even wyvern fangs.,Constitution,1,Agitator,1,-,-,Scaling Prowess,-,3000,Yian Kut-Ku Certificate S,1,Kut-Ku Carapace,3,Giant Beak,1,-,-
Kut-Ku Coil α,Kut-Ku α,Waist,5,36,3,0,-2,-4,2,-,-,-,"Waistgear crafted from Yian Kut-Ku parts. Beware of its sharp, spine-covered exterior!",Recovery Up,2,Agitator,1,-,-,Scaling Prowess,-,3000,Yian Kut-Ku Certificate S,1,Giant Beak,3,Kut-Ku Ear,1,Inferno Sac,1
Kut-Ku Greaves α,Kut-Ku α,Legs,5,36,3,0,-2,-4,2,-,1,-,Leg armor made from Yian Kut-Ku spoils. The exceptional design prioritizes ease of movement.,Constitution,2,Recovery Up,1,-,-,Scaling Prowess,-,3000,Kut-Ku Scale+,2,Kut-Ku Carapace,2,Kut-Ku Wing,1,Kut-Ku Ear,1
Kut-Ku Helm β,Kut-Ku β,Head,5,36,3,0,-2,-4,2,1,1,-,Head armor made from superior Yian Kut-Ku parts. Its expert crafting brings to mind the bird-like beast.,Constitution,2,-,-,-,-,Scale Layering,-,3000,Kut-Ku Scale+,2,Kut-Ku Wing,2,Monster Keenbone,1,-,-
Kut-Ku Mail β,Kut-Ku β,Chest,5,36,3,0,-2,-4,2,-,1,-,Chest armor made from Yian Kut-Ku materials. Its unique color evokes thoughts of a foreign land.,Agitator,1,-,-,-,-,Scale Layering,-,3000,Yian Kut-Ku Certificate S,1,Kut-Ku Scale+,2,Kut-Ku Wing,1,Firecell Stone,1
Kut-Ku Vambraces β,Kut-Ku β,Arms,5,36,3,0,-2,-4,2,2,1,-,Armguards made from Yian Kut-Ku materials. The otherworldly pink plating repels even wyvern fangs.,Constitution,1,-,-,-,-,Scale Layering,-,3000,Yian Kut-Ku Certificate S,1,Kut-Ku Carapace,3,Giant Beak,1,-,-
Kut-Ku Coil β,Kut-Ku β,Waist,5,36,3,0,-2,-4,2,1,-,-,"Waistgear crafted from Yian Kut-Ku parts. Beware of its sharp, spine-covered exterior!",Agitator,1,Recovery Up,1,-,-,Scale Layering,-,3000,Yian Kut-Ku Certificate S,1,Giant Beak,3,Kut-Ku Ear,1,Inferno Sac,1
Kut-Ku Greaves β,Kut-Ku β,Legs,5,36,3,0,-2,-4,2,1,1,-,Leg armor made from Yian Kut-Ku spoils. The exceptional design prioritizes ease of movement.,Constitution,1,Recovery Up,1,-,-,Scale Layering,-,3000,Kut-Ku Scale+,2,Kut-Ku Carapace,2,Kut-Ku Wing,1,Kut-Ku Ear,1
Chatacabra Helm α,Chatacabra α,Head,5,36,1,2,-3,-1,1,1,-,-,Chatacabra head armor. The design is specially tailored for deseert hunting.,Wide-Range,1,Speed Eating,1,-,-,Flexible Leathercraft,-,3000,Chatacabra Scale+,2,Chatacabra Jaw+,1,Stoutbone,1,-,-
Chatacabra Mail α,Chatacabra α,Chest,5,36,1,2,-3,-1,1,-,-,-,Chatacabra chest armor. Equipped with generous elastic cushioning in the collar.,Weakness Exploit,1,Speed Eating,1,-,-,Flexible Leathercraft,-,3000,Chatacabra Certificate S,1,Chatacabra Carapace,2,Quality Bone,1,-,-
Chatacabra Vambraces α,Chatacabra α,Arms,5,36,1,2,-3,-1,1,1,-,-,Chatacabra armguards. They protect the wrists without hampering weapon handling.,Wide-Range,1,Item Prolonger,1,-,-,Flexible Leathercraft,-,3000,Chatacabra Scale+,2,Chatacabra Hide+,2,Chatacabra Jaw+,1,Chatacabra Carapace,1
Chatacabra Coil α,Chatacabra α,Waist,5,36,1,2,-3,-1,1,1,-,-,"Chatacabra waistgear. The charming, heart-shaped pouch is made from its ample tongue.",Speed Eating,1,Item Prolonger,1,-,-,Flexible Leathercraft,-,3000,Chatacabra Certificate S,1,Chatacabra Hide+,3,Chatacabra Carapace,1,-,-
